Start,Output0
102.27,0.0
57.83,0.8414709848078965
21.78,0.9092974268256817
82.2,0.1411200080598672
35.43,-0.7568024953079282
93.95,-0.9589242746631385
62.11,-0.27941549819892586
65.93,0.6569865987187891
46.97,0.9893582466233818
106.89,0.4121184852417566
70.12,-0.5440211108893698
34.56,-0.9999902065507035
49.14,-0.5365729180004349
30.11,0.4201670368266409
49.16,0.9906073556948704
57.05,0.6502878401571168
118.17,-0.2879033166650653
72.71,-0.9613974918795568
26.41,-0.7509872467716762
87.77,0.14987720966295234
67.17,0.9129452507276277
106.6,0.8366556385360561
114.39,-0.008851309290403876
77.02,-0.8462204041751706
75.2,-0.9055783620066238
51.11,-0.13235175009777303
90.71,0.7625584504796027
69.49,0.956375928404503
40.94,0.27090578830786904
28.24,-0.6636338842129675
20.76,-0.9880316240928618
58.56,-0.404037645323065
61.49,0.5514266812416906
108.23,0.9999118601072672
28.93,0.5290826861200238
20.82,-0.428182669496151
97.1,-0.9917788534431158
90.07,-0.6435381333569995
73.3,0.2963685787093853
108.79,0.9637953862840878
93.76,0.7451131604793488
42.33,-0.158622668804709
81.15,-0.9165215479156338
115.42,-0.8317747426285983
107.18,0.017701925105413577
41.83,0.8509035245341184
109.57,0.9017883476488092
98.54,0.123573122745224
27.32,-0.7682546613236668
27.18,-0.9537526527594719
34.39,-0.26237485370392877
100.61,0.6702291758433747
65.65,0.9866275920404853
43.51,0.39592515018183416
43.31,-0.5587890488516163
97.4,-0.9997551733586199
70.54,-0.5215510020869119
37.32,0.43616475524782494
79.16,0.9928726480845371
88.94,0.6367380071391379
55.05,-0.3048106211022167
43.39,-0.9661177700083929
41.53,-0.7391806966492228
72.26,0.16735570030280691
95.61,0.9200260381967907
38.56,0.8268286794901034
29.41,-0.026551154023966794
92.57,-0.8555199789753223
31.91,-0.8979276806892913
63.3,-0.11478481378318722
93.19,0.7738906815578891
35.16,0.9510546532543747
32.94,0.25382336276203626
66.76,-0.6767719568873076
85.15,-0.9851462604682474
105.34,-0.38778163540943045
63.87,0.5661076368981803
92.55,0.9995201585807313
29.83,0.5139784559875352
29.57,-0.4441126687075084
108.72,-0.9938886539233752
95.5,-0.6298879942744539
44.07,0.31322878243308516
26.68,0.9683644611001854
67.45,0.7331903200732922
102.76,-0.1760756199485871
95.13,-0.9234584470040598
97.63,-0.8218178366308225
86.81,0.03539830273366068
66.36,0.8600694058124532
64.71,0.8939966636005579
98.23,0.10598751175115685
25.86,-0.7794660696158047
66.3,-0.9482821412699473
23.49,-0.24525198546765434
81.27,0.683261714736121
94.56,0.9835877454343449
31.74,0.3796077390275217
96.03,-0.5733818719904229
21.99,-0.9992068341863537
